2021-04-14 22:10:55,256 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:10:55 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:10:56,847 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:10:57,213 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:10:57,445 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:10:57,643 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:16bd1dadf497-45813-1618409457475-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:10:57,716 | INFO  | Listening for connections at: tcp://16bd1dadf497:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:10:57,720 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:10:57,728 | INFO  | Listening for connections at: amqp://16bd1dadf497:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:10:57,737 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:10:57,743 | INFO  | Listening for connections at: stomp://16bd1dadf497:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:10:57,745 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:10:57,768 | INFO  | Listening for connections at: mqtt://16bd1dadf497:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:10:57,776 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:10:57,952 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:10:58,237 | INFO  | Listening for connections at ws://16bd1dadf497:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:10:58,238 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:10:58,240 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:16bd1dadf497-45813-1618409457475-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:10:58,242 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:10:58,884 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:10:59,284 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:10:59,285 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:10:59,355 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:10:59,908 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:11:00,163 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
